date,priceUsd
2017-02-08,1050.2013804899696
2017-02-09,1020.35851532641
2017-02-10,975.3799947453421
2017-02-11,1004.1592839362291
2017-02-12,1000.2272693717377
2017-02-13,997.1113602514179
2017-02-14,1004.3102946673282
2017-02-15,1007.6359164427377
2017-02-16,1024.9458423435817
2017-02-17,1045.3798768873737
2017-02-18,1059.2445183850605
2017-02-19,1052.0075029330917
2017-02-20,1054.9879540537654
2017-02-21,1099.4857553172797
2017-02-22,1117.6268053609554
2017-02-23,1143.1747573484654
2017-02-24,1183.0491657774935
2017-02-25,1164.5860805646603
2017-02-26,1160.837811070404
2017-02-27,1183.2654347747598
2017-02-28,1191.0722751362096
2017-03-01,1204.4204263982556
2017-03-02,1237.314996308322
2017-03-03,1271.3100808501456
2017-03-04,1271.8953845590108
2017-03-05,1262.0381706473154
2017-03-06,1274.7873885403205
2017-03-07,1253.0889682328948
2017-03-08,1195.5507145222784
2017-03-09,1175.715632288365
2017-03-10,1201.7356811177433
2017-03-11,1168.170041535962
2017-03-12,1195.5670363587708
2017-03-13,1230.019399750254
2017-03-14,1239.4018712285845
2017-03-15,1247.1678578573767
2017-03-16,1219.005961300222
2017-03-17,1129.3341039781017
2017-03-18,1035.71111533093
2017-03-19,1013.4621910940922
2017-03-20,1038.8259001031583
2017-03-21,1089.7540038959428
2017-03-22,1060.9224249165075
2017-03-23,1044.0709113082496
2017-03-24,997.2988678517352
2017-03-25,936.3214771616337
2017-03-26,975.5601494033608
2017-03-27,1004.8231553439728
2017-03-28,1047.342650280966
2017-03-29,1037.2559830506432
2017-03-30,1038.8532406285224
2017-03-31,1059.7473126059972
2017-04-01,1086.906896715504
2017-04-02,1093.3596589741724
2017-04-03,1137.9376457174662
2017-04-04,1146.380340512919
2017-04-05,1131.4416162520245
2017-04-06,1169.825887794382
2017-04-07,1193.5026343581767
2017-04-08,1190.8349744367977
2017-04-09,1197.615334002238
2017-04-10,1213.7690210729288
2017-04-11,1219.30551712078
2017-04-12,1224.3631815351991
2017-04-13,1196.553387953831
2017-04-14,1194.3723668815562
2017-04-15,1193.7647674883463
2017-04-16,1191.276237245483
2017-04-17,1198.6278642104005
2017-04-18,1225.7270409028476
2017-04-19,1223.687966174492
2017-04-20,1243.5384244190475
2017-04-21,1267.0808206522552
2017-04-22,1263.6187633414906
2017-04-23,1273.8893069796875
2017-04-24,1276.2498246862012
2017-04-25,1289.3735048035164
2017-04-26,1314.229363733682
2017-04-27,1340.7722348816128
2017-04-28,1347.9356504226987
2017-04-29,1357.734187826007
2017-04-30,1360.033599319934
2017-05-01,1418.4239430662158
2017-05-02,1465.3423690069956
2017-05-03,1489.9624303325074
2017-05-04,1554.5671868291702
2017-05-05,1566.6380932498416
2017-05-06,1553.8877056133929
2017-05-07,1560.0996603551673
2017-05-08,1617.4033061582559
2017-05-09,1722.9089959167077
2017-05-10,1743.7235232765304
2017-05-11,1828.6782094544703
2017-05-12,1776.443918568946
2017-05-13,1714.964197890247
2017-05-14,1789.2789126348855
2017-05-15,1742.7229452857355
2017-05-16,1724.3113059182585
2017-05-17,1802.0350541304333
2017-05-18,1840.5016779388884
2017-05-19,1932.2849783461047
2017-05-20,1988.961436135624
2017-05-21,2041.043205772914
2017-05-22,2132.615874751864
2017-05-23,2192.0009679231935
2017-05-24,2357.398184433339
2017-05-25,2545.894707898613
2017-05-26,2372.674114155732
2017-05-27,2046.891968241988
2017-05-28,2155.227075646808
2017-05-29,2212.0498491204808
2017-05-30,2250.859258755994
2017-05-31,2227.2203346728793
2017-06-01,2372.2884143088504
2017-06-02,2407.7554410462753
2017-06-03,2500.4309798913396
2017-06-04,2505.2799349976763
2017-06-05,2588.9514701000962
2017-06-06,2819.741340589404
2017-06-07,2807.9937348870217
2017-06-08,2746.1158976064735
2017-06-09,2817.2909944355847
2017-06-10,2846.7352469575703
